smiles,text
CCCSCCC,The molecule is an aliphatic sulfide.The molecule is a natural product found in Allium ampeloprasum with data available.
C1=C(C=C(C(=C1Br)O)Br)C#N,"The molecule is a colorless solid. Melting point 382-384 °F (194-195 °C). Sublimes at 275 °F (135 °C) under pressure of 0.15 mmHg. Used as a herbicide.The molecule is a dibromobenzene that is 2,6-dibromophenol substituted by a cyano group at position 4. It has a role as an environmental contaminant, a xenobiotic and a herbicide. It is a member of phenols, a dibromobenzene and a hydroxynitrile. It is functionally related to a 2,6-dibromophenol. It is a conjugate acid of a 3,5-dibromo-4-oxidobenzonitrile(1-).The molecule is a chemical compound of cyanide that is used as a herbicide. It is not permitted for homeowner use and is used for mainly for post-emergent control of annual broadleaf weeds. It is especially effective in the control of weeds in cereal, corn, sorghum, onions, flax, mint, turf, and on non-cropland. It works by inhibiting photosynthesis. (L594)"
C(C(Cl)(Cl)Cl)Cl,"Tetrachloroethane appears as a colorless dense liquid with a sweet chloroform-like odor. Irritated skin, eyes and mucous membranes. Used as a solvent, insecticide and in paint removers.The molecule is a clear colorless liquid. (NTP, 1992)The molecule is a member of chloroethanes."
C1COCCN1N=O,"N-nitrosomorpholine appears as yellow crystals. Golden liquid with many crystals at 68 °F. (NTP, 1992)The molecule is a nitrosamine that is morpholine in which the hydrogen attached to the nitrogen is replaced by a nitroso group. A carcinogen and mutagen, it is found in snuff tobacco. It has a role as a carcinogenic agent and a mutagen.The molecule is not used commercially in the United States. Limited information is available on the health effects of N-nitrosomorpholine. No information is available on the acute (short-term), chronic (long-term), reproductive, developmental, or carcinogenic effects of N-nitrosomorpholine in humans. Animal studies have reported effects on the liver from chronic exposure as well as tumors of the liver, nasal cavity, lung, and kidneys from oral exposure to N-nitrosomorpholine. EPA has not classified N- nitrosomorpholine for carcinogenicity. The International Agency for Research on Cancer (IARC) has classified N-nitrosomorpholine as a Group 2B, possible human carcinogen.The molecule is a natural product found in Nicotiana tabacum with data available.The molecule is a yellow, crystalline nitrosamine that is sensitive to light. N-Nitrosomorpholine is not used or produced commercially in the US. This substance has been found as a contaminant in rubber products, including rubber nipples for baby bottles, and is also found in several vegetables, cheeses, alcoholic beverages and fruits. N-Nitrosomorpholine is reasonably anticipated to be a human carcinogen. (NCI05)"
CNC1CCCCC1,Methyl cyclohexylamine appears as a water-white liquid. Slightly soluble in water and floats on water. A strong irritant to skin and eyes. Corrosive. Used as a solvent.The molecule is a secondary aliphatic amine having methyl and cyclohexyl as the two alkyl groups. It has a role as a human xenobiotic metabolite.
CCCCOCC(C)O,The molecule is a natural product found in Cedronella canariensis with data available.
C#C,"The molecule is lighter than air. Flame may flash back to the source of a leak very easily. Under prolonged exposure to fire or heat the containers may rupture violently and rocket.The molecule is a terminal acetylenic compound, a gas molecular entity and an alkyne.The simplest two carbon alkyne with the formula HCCH."
COc1ccccc1OC,"The molecule is a dimethoxybenzene with the methoxy groups at ortho-positions. It has a role as a plant metabolite.The molecule is a natural product found in Ophrys sphegodes, Phallus impudicus, and other organisms with data available."
CCc1cccc(c1)O,The molecule is a member of phenols.The molecule is a benzene bearing an hydroxyl group.
CC1COC(=O)O1,The molecule is a natural product found in Solanum lycopersicum with data available.
CCC1=NC=CN=C1OC,The molecule is a member of pyrazines and an aromatic ether.
C[C@@H](C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O,"The molecule is a methoxynaphthalene that is 2-methoxynaphthalene substituted by a carboxy ethyl group at position 6. Naproxen is a non-steroidal anti-inflammatory drug commonly used for the reduction of pain, fever, inflammation and stiffness caused by conditions such as osteoarthritis, kidney stones, rheumatoid arthritis, psoriatic arthritis, gout, ankylosing spondylitis, menstrual cramps, tendinitis, bursitis, and for the treatment of primary dysmenorrhea. It works by inhibiting both the COX-1 and COX-2 enzymes. It has a role as a non-steroidal anti-inflammatory drug, an antipyretic, a cyclooxygenase 2 inhibitor, a cyclooxygenase 1 inhibitor, a non-narcotic analgesic, a gout suppressant, a xenobiotic, an environmental contaminant and a drug allergen. It is a monocarboxylic acid and a methoxynaphthalene. It is a conjugate acid of a naproxen(1-).The molecule is classified as a nonsteroidal anti-inflammatory dug (NSAID) and was initially approved for prescription use in 1976 and then for over-the-counter (OTC) use in 1994. It can effectively manage acute pain as well as pain related to rheumatic diseases, and has a well studied adverse effect profile. Given its overall tolerability and effectiveness, naproxen can be considered a first line treatment for a variety of clinical situations requiring analgesia. Naproxen is available in both immediate and delayed release formulations, in combination with sumatriptan to treat migraines, and in combination with esomeprazole to lower the risk of developing gastric ulcers.The molecule is a Nonsteroidal Anti-inflammatory Drug. The mechanism of action of naproxen is as a Cyclooxygenase Inhibitor.The molecule is a popular over-the-counter nonsteroidal antiinflammatory drug (NSAID) that is widely used for therapy of mild-to-moderate pain and arthritis. Naproxen has been associated with rare cases of clinically apparent drug induced liver injury.The molecule is a natural product found in Plantago major with data available.The molecule is a propionic acid derivative and a non-steroidal anti-inflammatory drug (NSAID) with anti-inflammatory, antipyretic and analgesic activities. Naproxen inhibits the activity of the enzymes cyclo-oxygenase I and II, resulting in a decreased formation of precursors of prostaglandins and thromboxanes. The resulting decrease in prostaglandin synthesis is responsible for the therapeutic effects of naproxen. Naproxen also causes a decrease in the formation of thromboxane A2 synthesis, by thromboxane synthase, thereby inhibiting platelet aggregation.An anti-inflammatory agent with analgesic and antipyretic properties. Both the acid and its sodium salt are used in the treatment of rheumatoid arthritis and other rheumatic or musculoskeletal disorders, dysmenorrhea, and acute gout."
CCCCC[N+](=O)[O-],The molecule is a natural product found in Solanum lycopersicum with data available.
CCCC1CCCCC1,The molecule is a natural product found in Carica papaya with data available.
CCOC(=O)OCC,The molecule is slightly less dense than water and insoluble in water. Hence floats on water. Flash point 77 °F. Vapors are heavier than air. When heated to high temperatures it may emit acrid smoke. Used as a solvent.The molecule is a carbonate ester.The molecule is a natural product found in Vitis rotundifolia and Opuntia ficus-indica with data available.
CC1=CC(=O)C(CC1)C(C)C,"The molecule is a p-menthane monoterpenoid that is cyclohex-2-en-1-one substituted by a methyl group at position 3 and an isopropyl group at position 6. It has a role as a volatile oil component and a plant metabolite. It is a p-menthane monoterpenoid and a cyclic terpene ketone.The molecule is a natural product found in Clinopodium dalmaticum, Eucalyptus fasciculosa, and other organisms with data available."
C=CC=CCC,Hexadiene appears as a clear colorless liquid with a petroleum-like odor. Less dense than water and insoluble in water. Hence floats on water. Vapors heavier than air.
c1ccc2c(c1)Oc3cc(c(cc3O2)Cl)Cl,"The molecule is one of 75 chlorinated dibenzo-p-dioxin (CDD) congeners. CDDs are a class of manufactured chemicals that consist of dioxin skeletel structures with chlorine substituents. They are also persistent organic pollutants (POPs), thus their production is regulated in most areas. Dioxins occur as by-products from the manufacture of organochlorides, the bleaching of paper, chlorination by waste and drinking water treatment plants, municipal solid waste and industrial incinerators, and natural sources such as volcanoes and forest fires. (L177, L178)"
C1CCCC=CCC1,The molecule is a natural product found in Aspergillus candidus and Oryza sativa with data available.
C(Cl)(Cl)(Cl)Cl,"Carbon tetrachloride appears as a clear colorless liquid with a characteristic odor. Denser than water (13.2 lb / gal) and insoluble in water. Noncombustible. May cause illness by inhalation, skin absorption and/or ingestion. Used as a solvent, in the manufacture of other chemicals, as an agricultural fumigant, and for many other uses.The molecule is a manufactured chemical that does not occur naturally. It is a clear liquid with a sweet smell that can be detected at low levels. It is also called carbon chloride, methane tetrachloride, perchloromethane, tetrachloroethane, or benziform. Carbon tetrachloride is most often found in the air as a colorless gas. It is not flammable and does not dissolve in water very easily. It was used in the production of refrigeration fluid and propellants for aerosol cans, as a pesticide, as a cleaning fluid and degreasing agent, in fire extinguishers, and in spot removers. Because of its harmful effects, these uses are now banned and it is only used in some industrial applications.The molecule is a chlorocarbon that is methane in which all the hydrogens have been replaced by chloro groups. It has a role as a refrigerant and a hepatotoxic agent. It is a chlorocarbon and a member of chloromethanes.Carbon tetrachloride may be found in both ambient outdoor and indoor air. The primary effects of carbon tetrachloride in humans are on the liver, kidneys, and central nervous system (CNS). Human symptoms of acute (short-term) inhalation and oral exposures to carbon tetrachloride include headache, weakness, lethargy, nausea, and vomiting. Acute exposures to higher levels and chronic (long-term) inhalation or oral exposure to carbon tetrachloride produces liver and kidney damage in humans. Human data on the carcinogenic effects of carbon tetrachloride are limited. Studies in animals have shown that ingestion of carbon tetrachloride increases the risk of liver cancer. EPA has classified carbon tetrachloride as a Group B2, probable human carcinogen.The molecule is a natural product found in Helianthus tuberosus with data available.The molecule is a clear, colorless, volatile and very stable chlorinated hydrocarbon. Carbon Tetrachloride is used as a solvent for oils and fats, as a refrigerant and as a dry-cleaning agent. Inhalation of its vapors can depress central nervous system activity and cause degeneration of the liver and kidneys. Carbon Tetrachloride is reasonably anticipated to be a human carcinogen based on evidence of carcinogenicity in experimental animals. (NCI05)Grain fumigantCarbon tetrachloride has been shown to exhibit anesthetic, metal chelator and hepatoprotective functions (A7684, A7685, A7686).Carbon tetrachloride belongs to the family of Chlorocarbons. These are Any Compound consisting wholly of chlorine and carbon. (Reference: [1] IUPAC. Compendium of Chemical Terminology, 2nd ed. (the Gold Book). Compiled by A. D. McNaught and A. Wilkinson. Blackwell Scientific Publications, Oxford (1997). XML on-line corrected version: http://goldbook.iupac.org (2006-) created by M. Nic, J. Jirat, B. Kosata; updates compiled by A. Jenkins. ISBN 0-9678550-9-8. doi:10.1351/goldbook. (Or PAC, 1995, 67, 1307 (Glossary of class names of organic compounds and reactivity intermediates based on structure (IUPAC Recommendations 1995)) on page 1328)).The molecule is possible and may be fatal. (Merck Index, 11th ed)"
C1COC2=CC=CC=C2OCCOCCOC3=CC=CC=C3OCCO1,The molecule is a crown ether that is 18-crown-6 ortho-fused to two benzene rings at positions 8-9 and 17-18. It has a role as a phase-transfer catalyst. It is a member of benzenes and a crown ether.
C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=CC=CC=C3,"Triphenyl phosphine appears as white crystals. (NTP, 1992)The molecule is a member of the class of tertiary phosphines that is phosphane in which the three hydrogens are replaced by phenyl groups. It has a role as a reducing agent. It is a member of benzenes and a tertiary phosphine."
C1C2C=CC1C3C2C4(C(=C(C3(C4(Cl)Cl)Cl)Cl)Cl)Cl,"The molecule is a solid. This material is no longer used as a pesticide. Isomer of aldrin.A highly poisonous substance that was formerly used as an insecticide. The manufacture and use has been discontinued in the U.S. (From Merck Index, 11th ed)"
