0,1,dGsolv_avg
Cc1nc(C)ccc1,FC(F)(F)CC(F)C(F)(F)F,-2.67388766
OCCCO,O=C(C2(C3)CC(CC1C2)CC3C1)N,-12.02992895
CN1CCCC1,FCCOC(F)(F)C,-4.21492119
Cc1ccccc1N(=O)=O,Cc3c1CCc(c1c5cc3)c4ccc2ccccc2c4c5,-15.45012319
CCC(O)(C)C,Cc1c(c(C)c(cc1N(=O)=O)N(=O)=O)N(=O)=O,-11.44207475
NCCN,CCc(cnc1C)nc1CC,-5.87935816
N1CCCCC1,FCCC(F)(F)CCC,-4.81085868
Oc1cc(C)ccc1,C(Nc1cc2)Cc1cc2,-8.54463618
Brc1ccccc1,OC(C)(C)CCCC(C)C=C,-7.80790396
ClC(Cl)(Cl)Cl,CCOC(CO)OCC,-6.1523152
OCCCCCC,CC2(CCC=C(C)C)C1(C)C(CC32)C1C3,-8.28042593
CN1CCCC1=O,c(ccc2c1ccccc1o3)cc32,-9.528032
CCCCCCCl,CC1(C)CC(CC(C)(C1)CN=C=O)N=C=O,-10.97237493
CCCCCCCl,CCC(Cl)(Cl)N(=O)=O,-5.73558125
C(CC2)CCC2c1ccccc1,CC=Cc2cc1OCOc1cc2,-8.35186327
CCCCl,FC(F)(F)C(O)(C(F)(F)F)C(F)(F)F,-3.20172303
COc1ccccc1,COC(C(C)C)C(F)(F)F,-4.42817807
CCCCCCCCCCCCCC,OC1CCCCCC1,-5.68399622
OCC(O)CC,FC(F)(F)CC(F)(F)C,-2.85173933
N#CCCCCC#N,CC(C1CCOC1=O)=O,-8.92929839
CCCCCC(C)=O,CCC(C(C)=O)C(C)=O,-6.48506067
CCOC(C)(C)C,O=C3OC(C2C3C1C=CC2C1)=O,-9.60945673
CCC(C)CC,Nc1ccccc1C(=O)N,-7.82513386
CCCCCCOC(C)=O,CC1CCC(CC1)C(C)(C)OC(C)=O,-8.74857673
CN(C)P(=O)(N(C)C)N(C)C,CCNc1nc(NC(C)C)nc(Cl)n1,-16.07762496
O(c2ccccc2)c1ccccc1,OP(O)C,-5.80114272
CN1CCN(C)C1=O,CC(C)SSSC(C)C,-7.84051795
CCCCCCCCCCCC,NCC(C)(C)C,-3.6021832000000003
CCCC(C)C,CCCCn1cnnc1,-8.04774328
CCCC(C)=O,COC(F)(C(F)(F)F)C(F)(F)C,-4.11387271
OCC1CCCO1,CN2c1ccccc1C=CC2=O,-10.82381932
OCCCCO,FC(C)C(N)C,-5.55289169
OCC(C)C,CC1(C)OC(CC1C(O)=O)=O,-12.91754645
COCCOCCO,CCC(N)C(C)C,-5.32023532
CC(OCc1ccccc1)=O,c(cc1)ccc1B(c3ccccc3)c2ccccc2,-12.83510878
COCCOCCOCCOCCOC,CCC(Cl)CCl,-5.45570388
Cc1ccccn1,OC(C)(CC=C)CC=C,-7.79377922
OCCC(C)C,Cc1ccccc1N(C)C(C)=O,-9.75465009
OCc1ccccc1,CC3(C2)CC(C)(CC1(C)C3)CC2(C)C1,-6.88021924
O=CN,OCCNc1ccccc1,-10.37088493
C(CC2)CCC2c1ccccc1,CC1(C)C(CC1CC2OC(C)=O)C2=C,-8.34314531
ClC1CCCCC1,CC(C)OC(CF)C(F)(F)F,-4.64410483
O(c2ccccc2)c1ccccc1,CC(C)COC(=O)C=C,-5.81262035
CCCCCCCCCCCCCCC,ClCC(C)CCl,-4.36000332
OCCCCCCCCCC,CC(C)C(Cl)C(F)(F)F,-3.8195149
OCC(O)C,CN(C)C(C)=S,-7.56689679
CNC(C)=O,CN(C)Cc(ccc1)cc1F,-6.02664097
CCCCCCC,CCOC(C)OCC,-4.50053708
CCCCCCOC(C)=O,CC(C)C1OC(C)(C)OCC1(C)C,-7.38586308
COC(OC)=O,c(ccc1c(ccc3)c2c3c4)cc1c2cc4,-11.60099096
CCCCC(CO)CC,Oc2ccccc2C(=O)c1ccccc1,-10.52893707
CCN(CC)C(C)=O,OC(=O)c(ccc1)cc1Br,-13.28507227
OCCC,SC(=S)N1CCNCC1,-11.45221906
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CSCCC(=O)C(O)=O,-4.1847862000000005
NCc1ccccc1,CCC(=O)N,-9.54891925
