0,1,dGsolv_avg
CCI,CC2Cc1ccccc1CC2,-7.95540296
S=C=S,NNC(=O)C(=O)N,-6.12065358
Clc1ccccc1,CC2=CC(c1ccccc1C2=O)=O,-10.14230307
Cc1cccc(C)c1C,CC1=CC=CN2C(=O)C(=CN=C12)C1=NNN=N1,-15.88683332
CCCCN(CCCC)CCCC,CC(C)(C)c1ccccc1O,-8.35274494
CCCCC,Clc1cccc(Cl)c1C#N,-7.48432954
COCCOCCO,C1NCCCNCCNCCCNC1,-13.56130759
CC(C)C,OOC(C)(C)C,-3.82617464
CSC,CCCCCCC(O)(C)C,-7.77441088
C1OCCOC1,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(O)=O,-9.65984754
Clc2c1ccccc1ccc2,C=CCCN=C=S,-5.71880168
Cc1ncccc1C,CCN(CC)C(C(C)Oc2c1ccccc1ccc2)=O,-14.08139478
CCN1CCCC1=O,CCCCCCOC(=O)c1ccccc1O,-10.89535468
OCCCC,O=CCC=C,-4.19841453
OCC,CCCCCCCCCCCC(O)=O,-12.18168384
Cc1cc(C)ccc1,OC(CCCCCCCCC=C)=O,-10.1021321
CN(=O)=O,CNC=O,-7.59862495
OCCN,CC(CN(CC(C)(N(=O)=O)N(=O)=O)N=O)(N(=O)=O)N(=O)=O,-14.35327007
FCCCCCCCC,FC(F)C(F)(C(F)(F)F)C(OC)=O,-4.00646959
CC(C)CCC(C)(C)C,FC(F)(F)N=C(C(F)(F)F)C(F)(F)F,-2.06117597
CCC,CCc(c1)cc(CC)cc1C,-7.69966837
OCCC#N,C1CCCCCCC1,-3.00834196
CCCCCCCCCCCC,CNCCC#N,-4.42663308
CC(Cl)Cl,FC(C)C(F)(O)C,-5.36548683
COC(OC)=O,OCC(C)C(F)(F)F,-6.066443799999999
COCCOCCOC,CCCCCSC,-5.5980171
Brc2c1ccccc1ccc2,COC(=O)c1ccccc1OC,-9.20492159
